ecozone,extent_2000,extent_perc,gain,gain_perc,id,loss,loss_perc,thresh,year
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2255978.980587626,0.6352547125440007,20,2005
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2320913.4434265317,0.3832074240621907,20,2005
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8946188.304936336,0.4186024473911374,20,2005
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4944577.3855604995,0.4390138864055693,20,2006
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2420290.6273538047,0.6815227623938676,20,2006
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2317754.7783471826,0.3826858949582248,20,2006
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8319478.390625611,0.38927796918962176,20,2006
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4080475.9716156004,0.3622929676285047,20,2007
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2714186.0730479276,0.7642799460728489,20,2007
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2814963.5910686376,0.4647803431090829,20,2007
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,9118055.477915064,0.42664431022509924,20,2007
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4797139.107065599,0.42592329309500365,20,2008
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2747766.6417129273,0.7737358030103066,20,2008
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2458993.603869336,0.4060059229666829,20,2008
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8961793.543668915,0.4193326344722629,20,2008
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,3532501.7309078006,0.3136400126225225,20,2009
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2117551.6923666634,0.5962753656867228,20,2009
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2048659.5394288483,0.33825541711108364,20,2009
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,9646373.567794453,0.4513649217175372,20,2009
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4066631.4803,0.36106375763463966,20,2010
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2430206.8732215143,0.6843150498984998,20,2010
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2370484.630747325,0.3913921528183222,20,2010
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,10044098.861594796,0.4699749459758369,20,2010
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,4650682.4120872,0.4129198515793859,20,2011
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2190749.3388747964,0.6168868830330899,20,2011
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2279299.5029973015,0.3763365211587979,20,2011
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8794994.615122452,0.4115279206285757,20,2011
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,7652286.3078141995,0.6794230709569167,20,2012
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,2472518.9440879766,0.6962295857371336,20,2012
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,2409877.858717693,0.39789639254289055,20,2012
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,10890097.207300723,0.5095601822720535,20,2012
Boreal,1126291795.9257,62.87783854028264,1724927.0973699999,0.15315099547114086,234,7409091.267907001,0.6578305279954085,20,2013
Subtropical,355129829.97845393,15.771681465327061,1617518.069793075,0.45547231836064334,824,1927217.124367246,0.5426795953705641,20,2013
Temperate,605654613.5833399,22.522649349063713,1299885.7886921668,0.21462492971058636,769,1599568.5032730866,0.26410572418647665,20,2013
Tropical,2137156235.1562457,37.62115094558635,2060309.6983481832,0.09640426209633456,1251,8377450.349721688,0.3919905438784741,20,2013
