,,,,,,,Total,Total,Annual loss,,,,,,,,,,,,,forest cover by strata,,,,,,,,loss within S1,,,,,,,,,,,,,loss within S2,,,,,,,,,,,,,loss within S3,,,,,,,,,,,,,loss within S4,,,,,,,,,,,,,loss within S5,,,,,,,,,,,,,loss within S6,,,,,,,,,,,,,loss within S7,,,,,,,,,,,,,loss within S8,,,,,,,,,,,,
Ecozone,Realm,Code,total area,no data,land,water,Loss 00-13,Gain 00-12,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,S1,S2,S3,S4,S5,S6,S7,S8,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Boreal coniferous forest,EAS,27,631449092.5,142060.2524,608793010.2,22514022.02,27981757.43,12449618.29,1495819.965,2306317.88,2112562.575,2068778.564,1440375.346,2146433.422,1852069.361,1679107.61,1388593.323,1362174.707,1890830.041,4128343.388,4110351.252,137388210.5,24076862.35,5533806.378,10482426.55,10665110.64,79757531.35,157711455.9,183177606.5,29198.48713,82369.1523,44069.8234,32853.78216,28716.61727,58763.55537,32138.97996,21281.21364,17133.24565,11226.09582,40007.12186,143765.7409,238899.2685,40468.74239,111309.2524,84677.46209,45844.30231,23515.33083,70777.97407,18723.8157,15448.24056,18053.8068,8900.411065,28865.86772,117279.3548,157745.5729,12276.03666,39278.12306,23903.66773,20566.65444,17007.42395,46633.76474,14377.03073,9574.352541,9200.092057,4117.629775,13127.03147,41607.28163,33767.68684,13802.77786,35803.68305,26878.3745,23681.62249,15033.14423,28730.69903,13545.82335,8600.485477,9681.526126,4156.776624,17264.21025,76691.36061,80380.65862,21256.89925,61377.81903,54173.13634,27707.46202,12537.12365,51074.97152,10296.22543,11173.89288,11981.13757,4952.710968,16687.54102,74934.76864,64613.96553,186515.5065,451243.1204,450034.9171,252731.7385,113435.2729,257831.4732,123316.8614,108776.497,93329.93463,53067.23077,149183.1832,532006.3518,671128.353,390427.698,673879.0574,700786.0912,479732.4175,234109.1104,446671.3791,328092.7088,298416.378,212101.5523,183046.976,340735.146,1046313.123,1349581.284,801873.8169,851057.6725,728039.1031,1185660.584,996021.3225,1185949.605,1311577.916,1205836.55,1017112.027,1092706.876,1284959.94,2095745.407,1514234.464
Boreal mountain system,EAS,28,514340402.6,480.3445036,507158286.5,7181635.782,16052329.25,3655315.049,763853.5884,1115930.079,1257146.617,2082414.791,531062.202,688234.5713,795911.9903,1838978.946,1280270.864,944595.0521,1243152.919,2205204.175,1305573.455,187980267,23642375.11,5617801.359,9404949.241,10121269.35,65546782.03,100038186.5,104806655.9,73979.30778,116811.1239,46905.05739,156395.9046,32023.44271,36134.62674,37920.21747,99552.69001,183707.3079,156788.7912,189909.0207,240119.8785,93717.01831,37772.35624,67332.14579,40847.96,91842.86302,12062.09022,15477.47767,14843.04422,40211.78037,43416.27442,38915.01601,58304.61618,77113.99866,34145.4224,11368.11706,16831.2375,9634.408489,21428.25355,5771.756409,6518.821126,6975.888833,22180.16657,20655.10774,14247.91933,17454.93123,24337.35891,5970.999343,24600.21796,26040.96539,18214.43273,44225.94414,6201.785933,8351.626165,8776.287691,20923.61531,19415.47116,17579.69425,23601.41308,30795.19327,15357.44961,14963.57716,27073.85736,21564.24693,38223.90976,6682.701679,8333.339942,9338.160616,23699.43564,24496.06024,20209.96753,29523.92226,45597.05596,14202.88881,179584.7275,270900.9813,297095.761,486075.2975,89616.19596,104685.718,115114.4359,324656.1729,226763.8529,180512.6184,244114.6153,352896.734,131455.9298,233506.6627,320394.2947,466592.098,612666.1135,132577.5045,201288.1223,211276.1445,533140.5687,280631.3461,197178.5568,262726.689,549300.892,432671.4078,188078.622,270545.4731,356292.6527,631556.5052,246126.7246,307444.8394,391667.8111,774614.517,481185.4434,319162.4886,417517.7117,885043.064,578052.3394
Boreal tundra woodland,EAS,29,139690634.2,99738.34508,133471506.2,6119389.583,916289.5627,28614.82084,45209.91912,77398.09786,28198.21649,154145.9711,23441.30862,22064.06441,24026.1998,52132.71753,19922.41431,118683.7958,220338.572,56262.93054,74465.35521,97222128.11,7606049.189,1036534.486,2322783.374,2122704.666,12911278.84,8650381.72,1599645.848,5221.348062,8462.270782,6865.075987,41311.63835,7602.296191,5876.744295,11362.45498,18711.26068,7278.421138,82544.96427,122388.7388,30066.44736,25561.49227,3499.651245,8669.186967,4494.452739,9050.573566,1511.318647,1894.059379,2399.973616,5560.30442,1989.724854,6884.447853,14170.98222,4738.134716,7308.786748,832.3254655,1109.592202,598.8003663,2054.261882,391.0035157,488.8046375,542.2638285,1348.899952,409.5236958,1729.335008,2549.14613,794.2388678,963.1901373,1245.439268,1909.338518,782.5755586,3674.263505,392.5510066,608.4013954,521.2169976,1599.969577,529.1646109,2308.717824,3923.441522,1177.088877,2813.987394,1263.003541,3274.162777,1332.535912,4088.299841,590.995696,929.5055351,713.4757743,1866.675492,619.749311,1912.747562,7475.294896,1366.226916,2261.72266,10553.64003,25701.38154,7328.303496,37926.31457,4350.195572,5695.758084,3822.775726,10288.58786,3078.851275,11362.15859,46129.70084,8231.122803,19150.74515,15048.75144,22442.6292,4921.903472,44017.91834,5281.652969,4191.436465,2873.632983,8790.008862,3535.922496,8536.027492,19350.53573,6337.86021,15257.39073,7545.760078,5829.53587,1874.568964,12022.70101,3321.295024,2379.354617,1790.405897,3967.010688,2481.056928,3405.397215,4350.731851,3551.810791,1148.040122
No data,EAS,30,273932.93,261681.5079,8518.999014,3732.42311,324.8771653,136.2668859,0,1.151822502,0.5147399946,80.32047678,0.1438429787,0.9349629534,58.59581537,49.61428679,22.00284101,2.024047815,9.293903698,86.66187485,13.6185506,2529.897782,109.0314924,57.36476319,56.22750551,86.84641657,352.3951945,1125.833322,4201.402538,0,0,0.1438566603,0,0.07192620797,0.2157852261,1.287901066,0.184008809,0.4399325791,0,0,0.6133121714,5.091975927,0,0,0,0,0,0,0.1226987856,0.06131405467,0.07191759688,0,0.06132334706,0.1226365943,0.06135746502,0,0,0,0.1226711293,0,0,0,0,0.07191771488,0,0,0,0.06131950921,0,0,0,0.0719168888,0,0,0,0,0,0,0,0,0.06136331619,0,0,0,0,0,0,0,0.1226289175,0,0,0.06132152919,0,0.1226862581,0,0,0.1476027591,0.4399839448,0.07191677078,0.07193233751,1.103687923,0.5520288187,0.4103881958,0,0.06132314508,0.4906085557,1.472148474,0,0,0.07567201501,1.288180187,0,0.2157490141,3.671111861,1.258324976,1.237371726,0,0.6344627274,2.250506591,2.576572299,0,1.151822502,0.1476085602,78.39772463,0,0.4314963758,52.41041573,47.43598122,19.7713132,2.024047815,8.475472949,83.18481094,4.171127357
Polar,EAS,31,217679657.8,21272224.1,182485560.4,13921873.35,176783.985,6151.657171,13801.09925,20559.21947,5755.44731,20564.37365,5123.241497,20523.51358,20536.64502,11965.27885,8700.463075,9308.859122,6119.256872,19920.68287,13905.9044,170194504.7,2878767.35,417506.7338,748464.8464,755125.6524,3877567.514,2835601.748,778021.8473,2156.872011,5011.465768,1942.871094,7702.565736,1626.83836,9134.366955,11121.49472,5251.77107,3748.281523,5972.18228,3269.112181,12469.29652,7433.946022,761.3747945,2171.276069,570.0003789,2268.84128,368.8295162,1964.29098,1466.78773,879.0639532,584.5196491,583.9600321,400.5908723,1151.405195,791.2289195,268.2177757,558.2047679,130.9492869,395.7971457,153.7305321,885.01032,677.5254439,267.1369765,190.9066489,177.8183566,82.48341983,246.0672554,103.4812327,436.8333506,998.3905917,252.795494,728.0611418,145.4933756,537.2145507,403.5636706,281.9968384,124.687932,113.2430758,108.5333257,345.6772859,329.1863084,286.4979018,697.0255031,144.992308,641.0112072,172.0250563,661.2564883,488.764665,353.2981425,196.6084348,187.7695278,142.6923798,365.2070053,255.5929519,2859.758864,6150.188146,1229.425677,4385.752044,1171.324985,3494.061024,2706.594826,2057.13635,1350.353395,943.2576363,846.0331831,2020.497022,1842.751992,4249.481511,3881.54029,940.6351571,2911.410475,973.1893421,2056.856102,2132.265829,1611.816345,1264.619722,702.3032205,694.4710151,1545.806766,2819.465714,2782.063044,1091.128334,543.7779137,1530.934623,511.8103299,1790.457158,1539.648142,1263.059174,1240.48577,628.3249928,575.3404953,1776.725819,330.2512614
Subtropical desert,EAS,32,144499732.9,0,144214116.1,285616.7677,273.8786616,168.1847039,20.99594049,9.740250548,34.78203321,6.930092969,13.28764847,6.248532058,17.76153605,9.483928153,18.98586061,6.440274701,33.36557976,13.91183832,81.94514623,144186137.1,4535.199204,2954.393695,609.4285534,1763.712713,10959.59437,6607.426425,549.1997916,10.03427514,5.801445352,16.08166728,2.85213488,10.12993755,3.241548146,8.96028326,5.402207416,7.515979204,1.946278993,32.84534579,10.72990465,81.4232679,0.5236426155,0.1300042347,0.4502257019,0.2629617836,0.3193647883,0.1295670221,0.5793482868,0.5794404558,1.34807003,0.1312838022,0.06408808259,0.0640370452,0.3292958141,1.538996165,0.3930014483,0.51714569,0.5351092908,0.4480933891,0.06404056164,1.188304084,0,1.343787191,0.06402149352,0.1940942599,0.06403741537,0.192582514,0.1281160877,0,0.5766927118,0,0.06409066895,0,0.1940584754,0,0.1280424315,0.06407255937,0,0,0,0,0,0.3215453547,0.06402371571,0,0,0,0,0.192072073,0,0,0,0,1.559775338,0.7855235285,3.052106089,1.931251157,1.091493856,0.781058967,2.274151725,1.357274346,4.228613389,1.033236142,0,0.8378775974,0,1.165967748,0.6561961336,2.729181841,1.22057917,1.0409718,0.9824345591,2.672163007,1.43306674,3.588918236,1.563204927,0.06403741537,1.499380812,0,6.045167387,1.974079851,11.05346854,0.06403297298,0.1936964212,1.049882802,1.893227207,0.711939194,0.6403780544,1.638176783,0.1980142158,0.7166007964,0
Subtropical dry forest,EAS,33,94453935.53,0,93357681.18,1096254.347,1240162.012,511992.2426,66552.94406,73454.04016,60966.6068,126258.7606,77809.3755,93273.18274,143380.7276,109830.8025,96809.25673,85924.33253,65079.75875,140199.9271,100622.2972,68796369.44,2057284.718,954152.2103,1675701.602,1615409.235,4683725.052,4833472.592,8741566.331,4202.592278,5447.769084,5206.539166,11473.01238,7798.523553,9052.572541,13683.05172,11585.27464,9068.346167,6973.848616,7885.482391,13489.95368,22843.11903,2449.700836,2707.901164,2519.887357,5076.891498,2904.023588,3459.214675,4257.387831,3701.01517,3027.169552,2280.12354,1625.008823,3225.766126,2118.993149,846.6534832,955.8199734,773.7513418,1583.430009,1068.676458,1157.154686,1556.279324,1544.170679,1154.941017,922.1871367,815.0198968,2114.248941,2759.289935,396.8273571,427.6635296,390.1211308,751.6076926,498.0377643,636.2930725,1545.097328,822.0128869,513.0135033,443.6641308,631.5137382,2361.725886,3507.0799,861.7366441,735.9754655,677.1468902,1265.23159,745.8440445,780.0575725,1069.501657,776.9916158,678.1459978,509.9698462,564.6467279,3612.886527,3249.923433,10794.11666,12622.78803,11014.52976,21578.40484,12354.17891,13243.60024,17817.36162,13956.84549,12699.35859,9862.149342,7931.526117,24974.04165,17060.76086,16491.87518,18434.62824,15724.10715,32048.79626,20187.04334,24723.12689,34734.98406,25601.06333,24460.5286,20447.30611,13589.70553,28348.45702,20994.18187,30509.44163,32121.49468,24660.52401,52481.38638,32253.04785,40221.16306,68717.06404,51843.42871,45207.7533,44485.08381,32036.85553,62072.84726,28088.94904
Subtropical humid forest,EAS,34,204489348.6,24351.47678,199244020.9,5220976.231,5101777.295,1706652.028,152161.4057,172574.7154,148258.9951,342478.5192,279928.3354,376638.7675,520898.3211,630946.3409,487380.7526,485592.3313,529037.7639,509637.3215,466243.7256,88672297.52,4944904.288,2148314.662,3206033.919,4395301.603,14987499.92,33962413.82,46927255.16,2296.603585,2579.590926,3050.441064,6102.871524,4420.687791,6844.054888,9207.414501,7582.744484,9178.653265,9771.684102,18572.74713,33355.40767,101128.7427,531.6606381,630.4915121,772.582695,1459.278955,1086.398979,1498.460931,2211.372131,1749.226793,2068.336343,2191.030131,3071.908827,4185.895212,8959.439374,278.8460548,350.7288817,410.680515,857.8258451,686.8439529,960.8517619,1368.35151,1180.263695,1397.045898,1417.585834,1739.767005,2385.172143,5451.533551,546.0711241,657.1988004,819.0417914,1548.065665,1146.279588,1563.691233,2251.444546,1800.851221,2130.792603,2130.632681,2606.93075,3464.379836,6754.598624,308.1202395,374.8187695,464.4294447,909.8355781,674.5003378,896.887184,1282.52327,1046.083445,1152.858792,1177.465497,2128.191578,3581.427719,8852.468932,5100.02986,6632.975398,7425.372583,16209.21644,12022.49058,15861.22844,22395.19789,21473.62549,21851.26392,21294.16268,24443.45468,29696.94803,43125.43623,30351.03698,39835.39325,36090.56978,92038.91934,70241.84046,87988.73287,120066.0914,135434.9657,117596.4609,110180.5819,118604.8777,117895.1418,124888.6969,112749.0373,121513.5178,99225.87727,223352.5058,189649.2937,261024.8602,362115.9258,460678.5801,332005.3408,337429.1885,357869.8862,315072.949,167082.8094
Subtropical mountain system,EAS,35,361331848.8,0,359229111.3,2102737.475,1057319.638,421433.1839,47269.18554,65910.88854,40927.78615,85905.64766,81711.96817,97039.59721,95112.77369,83749.6192,109867.9378,110473.5388,72993.35011,100102.0956,66255.24901,295069453.1,3419899.609,1151530.996,1605785.899,2001330.936,9625748.627,17778835.87,28576526.29,2170.675092,2648.970934,1570.491537,4364.708485,3485.458993,4323.205995,4297.577052,4198.483187,5653.135434,4062.260359,4964.129631,7800.324574,14608.48719,1586.346125,1297.701491,711.0444953,1832.779937,1733.37477,2032.326995,1623.52857,1558.259505,1928.764497,1485.803228,1277.644343,1638.724222,1553.229609,317.5842815,374.9363678,219.3730931,620.3302696,477.6520535,652.1975392,590.3550615,675.1293941,840.439393,647.7056955,693.3218161,817.2429279,1081.139563,182.8848959,265.62663,168.0497073,403.059504,316.8644807,452.034193,424.7619102,431.5896335,587.2237994,441.7670951,466.4636231,738.8486489,1419.80067,524.5954647,429.5581046,221.7205876,649.8937384,622.9970257,619.1565468,469.6827485,439.9769278,680.1500739,565.0887767,624.9456022,1069.148387,1757.481156,6381.038903,7855.462217,4615.528524,11256.93374,9970.421723,12076.88064,9342.111639,8759.443844,12105.18805,10331.21076,8279.175995,11396.60884,9706.126411,11258.60654,16880.32669,11455.9724,23328.12733,23199.11046,26861.62579,24778.31605,21049.229,30630.83571,29380.10159,18905.24703,23947.01742,15902.23797,24847.45424,36158.30611,21965.60581,43449.81466,41906.08867,50022.16951,53586.44065,46637.50771,57442.20087,63559.60126,37782.42207,52694.18062,20226.74644
Subtropical steppe,EAS,36,117955878.7,0,117639320.6,316558.1456,7838.56809,2491.505417,513.6377907,390.7071525,483.7637471,847.7628248,452.335261,671.2469391,641.4664846,510.2549472,641.6848576,488.0983262,1208.443731,354.5968951,634.5691329,116790626.5,204919.3612,42981.12798,115533.4737,46943.64125,170642.5454,144045.2238,123628.6689,116.9179488,96.59741754,71.67607621,186.4807471,99.49957763,115.0363722,148.3947346,157.6785384,189.3758111,129.9513665,168.468431,122.7767257,479.3690677,15.15242322,10.95813731,6.567630647,27.58312232,9.009567592,13.05295454,12.30154182,11.06282894,29.04099629,13.9432356,27.61535817,10.10259156,20.16049526,8.994312746,7.248738645,3.203324148,13.86794917,10.16776117,12.21429023,12.82240027,10.34368943,13.02558798,12.73208147,22.02414459,7.773770192,11.81774767,5.927024948,4.256264155,5.008671707,9.036940499,5.092532716,5.950622037,8.079147598,3.634892404,9.431117162,10.28496193,26.94583826,6.560051821,24.13250711,2.381860018,1.534839356,1.661356194,2.078771538,1.688453337,2.634132804,2.327060279,1.396952781,2.194501924,2.132601627,5.217670061,4.585963037,13.14520291,64.87049806,47.41720301,55.22599991,111.8498998,57.98292051,82.66266213,79.38616061,56.2468716,81.00093599,57.66845725,144.3999464,48.77344668,38.03313889,106.21065,79.60070922,136.7923024,173.8376855,125.5403182,181.4100721,165.6854209,118.1444794,143.0138299,96.49689337,298.8982157,60.99483181,30.41563303,193.1830729,143.0938433,203.6283859,323.0277088,143.3541299,258.285833,212.4700186,151.7466943,174.6020772,164.8887285,514.874127,93.0295143,17.49534036
Temperate continental forest,EAS,37,493756876.8,3.024779445,484043835.8,9713037.944,6763145.191,4893919.317,315914.8094,352236.4142,340691.0412,550373.14,584325.6112,525542.803,510414.789,552777.0888,515382.9614,614236.4057,920920.1415,588766.0844,391563.9008,301714962.4,5490932.151,2722031.851,2740262.563,4028149.85,16978496.45,50042652.21,100326348.3,3672.67069,3417.468943,2524.294775,6502.843637,5895.999425,6704.104921,6821.86006,8184.871701,7887.920202,6731.518285,7563.604225,9408.640644,11846.82619,1070.614849,1087.733929,906.1807696,1879.013684,1800.024867,1962.916169,1673.258997,1955.639738,1636.871613,1655.470203,2241.608759,1938.525518,1133.892015,617.3833248,649.3754635,610.2299079,1219.549573,1169.453085,1165.512265,1016.654544,1213.054191,1044.317122,960.8825593,1251.560999,933.7617302,635.3568433,610.1561835,533.8265663,483.9732764,991.9061417,930.5866454,953.7683044,945.9594621,1085.345111,928.1710108,857.648506,937.4413351,1059.606301,807.8872596,396.6042248,391.6074367,349.8423976,725.4605011,611.9215123,591.8740838,602.1648057,737.2538796,577.1872568,633.6880254,1146.896956,1083.267869,1313.310684,11188.44553,12116.76109,12065.09036,21567.18744,18888.99485,18656.24677,16995.47684,19405.4868,15697.10218,15677.83172,21715.60188,15379.48027,12672.89546,48784.56987,54545.18004,56451.79328,96278.45973,86772.48083,87065.60287,74979.92149,82483.5113,72288.05592,80270.03729,105898.9217,75943.77054,80908.3526,249574.3647,279494.4608,267299.6365,421208.7193,468256.15,408442.7776,407379.4929,437711.9261,415323.3361,507449.3291,780164.5057,483019.0315,282245.3798
Temperate desert,EAS,38,466337043.2,0,461906407.1,4430636.159,17129.29035,3733.322236,2184.509777,2054.776677,753.2699495,1453.15766,842.945412,1244.599056,1041.883691,1130.406631,2045.745673,827.9076097,1041.907921,1897.225134,610.9551584,459866269.1,385816.0395,125398.2004,129585.0091,143517.2232,425435.5494,451495.5918,378890.3779,348.789301,376.8456754,161.6916528,383.5329482,188.9335404,290.9470263,249.8735063,215.2577157,213.3090538,220.0486671,411.7115779,491.2923405,429.7258855,109.2589441,68.54520184,31.70829042,79.91678126,33.35128996,50.68642048,43.23101151,47.72253413,62.74183381,32.03396121,27.90497521,68.56004026,12.83073211,33.12884027,32.9486788,16.74374173,38.29183742,13.28981567,25.39636787,17.94214399,23.56830275,22.91345132,14.40594181,15.18139894,32.81050069,8.199805983,22.62969172,19.19886151,9.277133397,20.62684107,5.526150922,16.45058943,9.54620641,13.08990662,12.83884042,10.06256414,17.58582806,23.911449,5.926595034,17.36244519,13.77792712,9.397877361,19.59391756,5.347748522,11.43723695,7.684092762,7.545052315,15.56883132,6.542180422,26.2745253,25.16639041,10.74300245,325.4637441,289.1503718,141.0316875,291.0104724,110.8839906,179.4712872,170.7103514,191.2704088,285.2270903,113.3928375,162.4857399,263.0944482,40.98380479,478.7083889,440.0918729,161.6110978,288.8081672,132.8311086,209.6962551,187.6667163,245.166369,484.5866503,150.0796702,148.2016028,407.4520059,48.22054355,849.1684213,814.2180874,221.8084685,331.3766947,352.7817673,460.5138731,355.2296621,386.7863416,948.5599218,281.3417873,232.5622733,584.9379588,54.32478897
Temperate mountain system,EAS,39,498531502.3,0,494460700.7,4070801.619,1989696.511,889236.7004,111586.412,100687.328,166612.6442,217018.261,155880.5906,126681.6009,227249.9778,189388.0088,144853.8991,153219.5143,154359.3217,170085.9816,72072.97129,403090679.9,3721785.495,1479793.388,1746078.458,1904328.682,8286323.366,17407234.46,56824476.94,2929.089666,3449.494952,7638.006363,9613.823996,3017.000229,4793.801752,4565.965524,5313.583395,4964.779515,5063.514704,3333.868838,6771.547408,5574.218186,1114.611474,1617.068452,4380.675673,4252.984294,774.3005838,1445.929864,1115.746839,1207.759248,1210.712965,1062.749899,931.366563,1761.977231,602.5296135,488.7908941,405.4725176,2016.52056,1774.288348,402.9959309,929.1586432,638.2893344,949.8780757,698.038447,1381.667748,486.3064847,1076.45604,321.8300681,337.8605204,417.8560642,1166.979578,1217.755237,325.3539947,701.4960485,527.756697,624.7605987,606.0295684,484.1408738,316.6095672,783.8108611,424.1789052,334.908979,546.5829128,1093.325317,1512.212401,332.5213827,532.0926421,444.2797389,468.1641648,615.1555242,478.2294051,343.8386513,1116.142892,506.9846418,6971.510152,9334.931728,27431.23335,26839.70427,5546.175812,10961.04393,8202.430323,9716.193191,9121.842689,7408.227085,5511.33644,11237.56787,3616.485124,18438.84333,18374.23944,28984.17965,39349.62564,17160.35824,17222.15809,22596.94126,22936.50481,18720.09913,16958.5847,14934.05596,20119.73856,11012.07776,80970.797,66541.68196,93901.72374,132457.8668,128321.8845,90095.91989,189158.5681,148171.1653,108917.2412,120382.3998,128501.9392,127218.7408,50014.66699
Temperate oceanic forest,EAS,40,129152048.7,0,127118141.2,2033907.504,2054723.595,1347138.917,99379.86773,90454.23349,47451.93887,164184.0592,142867.5357,166992.4441,204144.4976,202472.3995,175253.7047,302912.6545,161628.2149,177153.752,119828.2932,90295639.86,1478762.698,597128.5084,617831.7671,811334.8288,3240377.868,8430539.511,21646526.15,2537.832555,1564.999496,1001.856815,2430.910047,2263.725777,2710.318244,2577.039047,2467.828115,2477.48864,2270.819115,2011.19609,3716.195226,11409.89513,604.2325111,384.4540763,209.6883842,705.0247443,573.3126632,841.1506315,740.0751106,611.9755808,731.2087683,742.5594659,417.4207426,635.7335734,815.4340781,288.5988423,182.6763328,119.470547,361.8736617,322.997812,410.3602108,350.45742,342.7283978,343.388349,348.0818549,242.2511112,400.9840351,852.1263634,226.4795402,164.7231834,97.05079343,279.9413422,230.1606205,370.9360177,279.9013406,242.0765089,290.5093178,275.9356723,196.178504,312.6062598,669.2283736,257.4118604,160.4610896,83.0847579,292.5155766,216.9772063,329.4173647,268.9306423,212.7807958,276.3133348,279.5643114,200.5039039,419.2627844,876.3533618,5739.12632,4163.890179,2147.398131,6734.704761,5027.706142,7376.425513,5934.565292,5176.81949,5942.188827,6401.949958,3419.610895,5420.614012,8175.234005,19670.65143,15653.79154,7909.898535,26752.7875,21090.94298,26997.87878,23748.0984,24673.00631,24917.9793,35223.39047,16708.47788,20094.63478,22739.56186,70055.53468,68179.23759,35883.49091,126626.3015,113141.7125,127955.9573,170245.4304,168745.1843,140274.6282,257370.3536,138432.5758,146153.7213,74290.45999
Temperate steppe,EAS,41,328345658.3,0,324384058.9,3961599.453,560671.5218,105201.3638,27618.6915,23510.90188,67478.93419,42833.34578,24097.59798,44375.39674,59859.47103,99190.22085,57209.35632,24927.32986,38342.10643,38650.575,12577.59423,307527672.6,1852884.195,951479.8416,1002446.42,1210074.645,4246741.241,4661103.347,2931656.585,6727.12318,5235.359693,5964.126833,9471.262525,4623.036084,5725.643165,6877.78909,7666.870969,3474.119161,2388.184826,3278.22827,5444.170709,2369.588982,2506.266318,1347.080316,2454.609563,1999.371308,1347.483209,1840.149278,2452.04971,4031.852362,1286.497536,824.8651416,1315.769251,2359.086014,243.3740594,685.2835998,501.663126,801.8822829,813.1012531,599.5876016,1396.828126,2370.400523,4618.836198,2346.013198,817.700755,3183.35706,2031.105896,210.0215637,324.1230054,288.4150927,880.3999306,480.4333325,374.106194,442.9954772,596.3204891,916.6237277,339.7901389,360.4848553,330.4811473,940.7625182,302.1813143,267.6258456,281.3423781,995.4853209,479.9990736,355.8094549,442.8725968,591.301516,1027.806379,315.4846265,342.9955306,464.7987916,1775.176262,628.9176167,6720.930922,6292.952793,27492.84708,13724.76372,7352.245782,12606.54129,14268.8374,26896.90144,8766.146296,6425.789714,7917.864651,11004.23906,2754.259785,4955.001652,5770.374612,25574.82987,11277.90098,6189.40422,16209.75417,21274.26855,36501.01971,16276.74957,7996.640609,9570.659563,8859.880904,4002.194482,5432.336981,3793.713867,3314.753309,4586.513589,3255.925431,5710.612633,11428.50375,17530.31005,24404.55579,5770.668427,12280.9477,6236.153637,2067.056432
Tropical desert,EAS,42,275246666.2,364.9206415,274312005.8,934295.4899,728.9907061,344.8448257,76.92580957,15.42942194,30.64614147,73.53293648,30.98071662,39.17075065,44.41305958,69.58941658,56.16572273,26.32744494,89.74839459,109.0557147,67.00517622,274292144.8,6580.085336,3400.727296,3431.416704,970.6410987,3777.057973,1062.695616,638.3666407,8.844318763,9.256171638,13.54415811,21.17175622,17.3680318,17.39430091,29.65493515,32.02651149,18.41265706,12.9445371,64.65750813,34.96295107,65.54857359,1.42540775,0.5529176987,0.3958588086,1.489727327,0.509315595,0.5631240902,0.9003506405,1.251723116,0.6134095454,0.7404991765,5.008161219,0.9611387054,0.2046828237,0.5427883054,0.5366049062,0.8013211292,1.191662687,1.784382909,1.086658488,0.6051611189,1.358985761,1.256398475,1.058371645,2.0307543,0.8669714421,0.3285907046,0.7277206246,0.3344866997,1.056976311,1.655260461,0.7982387763,0.6652981073,0.329123038,0,0.5918691467,1.315027841,0.7261207791,0.1988901899,0.1979734191,0.8012189473,0.1334672612,0.06636390183,0,0,0.06672002285,0.06659700183,0,0.1956895458,0.1988874419,0.2645514912,0.1324993136,0.1319852516,3.403442349,1.544988985,5.353144604,6.180802499,3.186476433,7.949896238,4.996640786,5.832204745,5.178577285,3.422732635,5.103684258,4.843792771,0.5933704338,29.28577471,1.329171356,7.376764614,17.51509599,3.704818023,7.081008465,4.490774065,13.10396572,15.82802081,3.360599884,8.130807451,19.91722509,0,31.89513811,1.741613391,2.051553998,24.3286313,3.629453077,4.363744331,3.369477781,16.01602575,14.08910086,3.286789221,3.826806962,47.17224614,0
Tropical dry forest,EAS,43,142236363.7,0,139987355.7,2249008.007,1672528.364,175459.8802,44674.62664,75873.61323,78653.56541,105663.3989,74987.63796,105674.2415,99487.85394,96858.4607,148124.3646,221660.229,194974.9945,228259.2511,197636.1267,112931375.5,2832268.606,961587.2751,1421808.64,2088689.533,5389788.479,7568755.011,6793082.702,3267.323999,6693.86457,6039.806883,7578.511766,5337.536905,9394.081735,9825.35684,8195.070484,12812.52772,12591.13068,17165.78664,24158.21927,41442.1101,806.3083604,1620.269963,1305.34782,1670.651961,1046.726594,1774.53836,1791.603681,1570.421061,2593.542399,2519.092431,3578.489264,5520.83796,5987.271312,471.790435,1000.716613,830.7888499,1015.861349,630.6499961,1024.786171,1065.135808,837.955783,1302.292828,1299.285504,1576.906144,2355.248567,2386.635608,869.3942314,1278.699908,1072.975815,1368.662968,871.57249,1394.723443,1372.909341,1285.05731,1827.434791,1847.740747,2480.498591,3861.681572,3949.645518,512.7398884,1067.582443,781.1049086,1051.311482,623.5481582,960.8839579,980.994779,838.959922,1350.555381,1654.426554,2117.198527,3544.451608,4313.443055,5913.810164,11720.45032,9604.407496,12959.48209,8297.323878,11189.16707,11475.98035,9573.676808,15238.50721,19180.91516,18080.58206,23015.73381,14293.96763,12425.98568,27848.12471,27760.21636,34560.84796,22430.47671,25831.3924,27261.51199,22358.73891,40457.77036,59342.0972,38139.61252,43870.88091,24137.01724,20407.27389,24643.90471,31258.91728,45458.06931,35749.80323,54104.66836,45714.36115,52198.58042,72541.73391,123225.5407,111835.9208,121932.1974,101126.0362
